time	V(vpwrout)	I(Pwrout)
Step Information: Freq=500K  (Run: 1/7)
2.222810086073747e-006	2.109141e+000	2.109141e-005
2.225172610859806e-006	2.109955e+000	2.109955e-005
2.226026454378321e-006	2.110070e+000	2.110070e-005
2.226422416984930e-006	2.110082e+000	2.110084e-005
2.226675043025105e-006	2.110082e+000	2.110089e-005
2.226905657766187e-006	2.110082e+000	2.110088e-005
2.227044452900208e-006	2.110081e+000	2.110080e-005
2.227178809055442e-006	2.110081e+000	2.110076e-005
2.227447521365911e-006	2.110080e+000	2.110080e-005
2.227984945986849e-006	2.110078e+000	2.110078e-005
2.229059795228723e-006	2.110074e+000	2.110071e-005
2.231209493712472e-006	2.110065e+000	2.110065e-005
2.235508890679970e-006	2.110048e+000	2.110048e-005
2.241107252428689e-006	2.110024e+000	2.110026e-005
2.242115239624349e-006	2.110020e+000	2.110020e-005
2.242467444713274e-006	2.110018e+000	2.110378e-005
2.242471774221144e-006	2.110018e+000	2.110319e-005
2.242480433236886e-006	2.110018e+000	2.109960e-005
2.242492789457594e-006	2.110018e+000	2.109720e-005
2.242506534189806e-006	2.110018e+000	2.109896e-005
2.242533880501515e-006	2.110018e+000	2.110071e-005
2.242569858439168e-006	2.110018e+000	2.110089e-005
2.242632068325011e-006	2.110018e+000	2.110057e-005
2.242913604708743e-006	2.110016e+000	2.110006e-005
2.256491444147790e-006	2.109947e+000	2.109947e-005
2.266257069147790e-006	2.109891e+000	2.109891e-005
2.276022694147790e-006	2.109831e+000	2.109831e-005
2.285788319147790e-006	2.109766e+000	2.109766e-005
2.295553944147790e-006	2.109699e+000	2.109698e-005
2.315085194147790e-006	2.109553e+000	2.109554e-005
2.324850819147790e-006	2.109476e+000	2.109476e-005
2.334616444147790e-006	2.109397e+000	2.109397e-005
2.344382069147790e-006	2.109315e+000	2.109315e-005
2.354147694147790e-006	2.109232e+000	2.109232e-005
2.363913319147790e-006	2.109148e+000	2.109147e-005
2.373678944147790e-006	2.109062e+000	2.109061e-005
2.393210194147790e-006	2.108888e+000	2.108888e-005
2.422507069147790e-006	2.108626e+000	2.108627e-005
2.432272694147790e-006	2.108539e+000	2.108540e-005
2.434531733866458e-006	2.108519e+000	2.108520e-005
2.436332121848358e-006	2.108503e+000	2.108504e-005
2.436947233490986e-006	2.108497e+000	2.108496e-005
2.438130081754001e-006	2.108487e+000	2.108481e-005
2.439387526404202e-006	2.108475e+000	2.108475e-005
2.441902415704602e-006	2.108453e+000	2.108455e-005
2.444635272451223e-006	2.108428e+000	2.108430e-005
2.448935679725408e-006	2.108389e+000	2.108389e-005
2.453786294485508e-006	2.108344e+000	2.108344e-005
2.458558379774905e-006	2.108299e+000	2.108300e-005
2.463264331661573e-006	2.108255e+000	2.108255e-005
2.468195431589244e-006	2.108209e+000	2.108209e-005
2.473469183705838e-006	2.108160e+000	2.108160e-005
2.479223584095879e-006	2.108107e+000	2.108108e-005
2.485586141522073e-006	2.108050e+000	2.108049e-005
2.492842506461097e-006	2.107985e+000	2.107984e-005
2.501348255593290e-006	2.107911e+000	2.107911e-005
2.511113880593290e-006	2.107828e+000	2.107828e-005
2.520879505593290e-006	2.107747e+000	2.107747e-005
2.530645130593290e-006	2.107669e+000	2.107669e-005
2.540410755593290e-006	2.107594e+000	2.107594e-005
2.550176380593290e-006	2.107519e+000	2.107519e-005
2.569707630593290e-006	2.107375e+000	2.107374e-005
2.599004505593290e-006	2.107164e+000	2.107164e-005
2.618535755593291e-006	2.107026e+000	2.107025e-005
2.638067005593291e-006	2.106886e+000	2.106886e-005
2.667363880593291e-006	2.106672e+000	2.106672e-005
2.686895130593291e-006	2.106526e+000	2.106526e-005
2.706426380593291e-006	2.106379e+000	2.106379e-005
2.716192005593291e-006	2.106305e+000	2.106306e-005
2.725957630593291e-006	2.106231e+000	2.106231e-005
2.735723255593291e-006	2.106155e+000	2.106155e-005
2.745488880593291e-006	2.106077e+000	2.106077e-005
2.755254505593291e-006	2.105997e+000	2.105997e-005
2.765020130593291e-006	2.105913e+000	2.105913e-005
2.769472010644437e-006	2.105872e+000	2.105872e-005
2.771605954324144e-006	2.105851e+000	2.105693e-005
2.771612324881282e-006	2.105851e+000	2.105701e-005
2.771625065995559e-006	2.105851e+000	2.105798e-005
2.771650548224113e-006	2.105850e+000	2.105975e-005
2.771679037470666e-006	2.105850e+000	2.105979e-005
2.771714247084717e-006	2.105849e+000	2.105934e-005
2.771766761326474e-006	2.105848e+000	2.105895e-005
2.771871789809987e-006	2.105847e+000	2.105862e-005
2.772081846777014e-006	2.105843e+000	2.105843e-005
2.772501960711068e-006	2.105835e+000	2.105841e-005
2.785105378732684e-006	2.105605e+000	2.105606e-005
2.794871003732684e-006	2.105425e+000	2.105426e-005
2.804636628732684e-006	2.105245e+000	2.105245e-005
2.814402253732684e-006	2.105066e+000	2.105066e-005
2.824167878732684e-006	2.104889e+000	2.104889e-005
2.843699128732684e-006	2.104548e+000	2.104547e-005
2.863230378732684e-006	2.104226e+000	2.104225e-005
2.872996003732684e-006	2.104073e+000	2.104073e-005
2.882761628732684e-006	2.103927e+000	2.103927e-005
2.892527253732684e-006	2.103787e+000	2.103787e-005
2.912058503732684e-006	2.103532e+000	2.103532e-005
2.931589753732684e-006	2.103309e+000	2.103309e-005
2.941355378732684e-006	2.103210e+000	2.103210e-005
2.970652253732685e-006	2.102956e+000	2.102956e-005
2.980417878732685e-006	2.102885e+000	2.102885e-005
2.990183503732685e-006	2.102822e+000	2.102822e-005
2.999949128732685e-006	2.102767e+000	2.102767e-005
3.009714753732685e-006	2.102722e+000	2.102722e-005
3.019480378732685e-006	2.102686e+000	2.102686e-005
3.029246003732685e-006	2.102659e+000	2.102659e-005
3.032951663625744e-006	2.102652e+000	2.102653e-005
3.036141064370619e-006	2.102648e+000	2.102655e-005
3.037718283026560e-006	2.102646e+000	2.102641e-005
3.039821241234482e-006	2.102644e+000	2.102645e-005
3.043411877956387e-006	2.102643e+000	2.102644e-005
3.045295401915783e-006	2.102642e+000	2.102643e-005
3.046880378064250e-006	2.102642e+000	2.102643e-005
3.049159628787983e-006	2.102643e+000	2.102644e-005
3.055805559886574e-006	2.102646e+000	2.102646e-005
3.062527728516919e-006	2.102652e+000	2.102652e-005
3.070729161966733e-006	2.102664e+000	2.102663e-005
3.080494786966733e-006	2.102682e+000	2.102682e-005
3.090260411966734e-006	2.102706e+000	2.102706e-005
3.100026036966734e-006	2.102734e+000	2.102734e-005
3.109791661966734e-006	2.102767e+000	2.102767e-005
3.129322911966734e-006	2.102844e+000	2.102844e-005
3.139088536966734e-006	2.102889e+000	2.102889e-005
3.158619786966734e-006	2.102989e+000	2.102989e-005
3.178151036966734e-006	2.103102e+000	2.103101e-005
3.207447911966734e-006	2.103291e+000	2.103291e-005
3.236744786966734e-006	2.103506e+000	2.103506e-005
3.256276036966734e-006	2.103662e+000	2.103661e-005
3.275807286966734e-006	2.103826e+000	2.103826e-005
3.295338536966734e-006	2.103996e+000	2.103996e-005
3.305104161966734e-006	2.104083e+000	2.104083e-005
3.314869786966734e-006	2.104171e+000	2.104171e-005
3.334401036966734e-006	2.104347e+000	2.104347e-005
3.363697911966734e-006	2.104607e+000	2.104607e-005
3.392994786966734e-006	2.104859e+000	2.104860e-005
3.412526036966734e-006	2.105021e+000	2.105022e-005
3.432057286966734e-006	2.105178e+000	2.105178e-005
3.441822911966734e-006	2.105255e+000	2.105254e-005
3.451588536966734e-006	2.105329e+000	2.105329e-005
3.461354161966734e-006	2.105402e+000	2.105402e-005
3.471119786966735e-006	2.105473e+000	2.105473e-005
3.480885411966735e-006	2.105542e+000	2.105542e-005
3.490651036966735e-006	2.105608e+000	2.105609e-005
3.500416661966735e-006	2.105673e+000	2.105673e-005
3.510182286966735e-006	2.105735e+000	2.105735e-005
3.519947911966735e-006	2.105794e+000	2.105794e-005
3.529713536966735e-006	2.105852e+000	2.105851e-005
3.539479161966735e-006	2.105907e+000	2.105906e-005
3.559010411966735e-006	2.106011e+000	2.106011e-005
3.568776036966735e-006	2.106061e+000	2.106061e-005
3.588307286966735e-006	2.106157e+000	2.106157e-005
3.617604161966735e-006	2.106294e+000	2.106294e-005
3.646901036966735e-006	2.106424e+000	2.106424e-005
3.666432286966735e-006	2.106508e+000	2.106509e-005
3.685963536966735e-006	2.106591e+000	2.106591e-005
3.715260411966735e-006	2.106715e+000	2.106715e-005
3.734791661966735e-006	2.106798e+000	2.106798e-005
3.754322911966735e-006	2.106881e+000	2.106881e-005
3.773854161966735e-006	2.106963e+000	2.106963e-005
3.793385411966735e-006	2.107042e+000	2.107041e-005
3.803151036966735e-006	2.107080e+000	2.107080e-005
3.812916661966735e-006	2.107118e+000	2.107118e-005
3.822682286966735e-006	2.107153e+000	2.107153e-005
3.832447911966735e-006	2.107187e+000	2.107187e-005
3.842213536966734e-006	2.107219e+000	2.107219e-005
3.851979161966734e-006	2.107248e+000	2.107248e-005
3.871510411966733e-006	2.107298e+000	2.107298e-005
3.891041661966732e-006	2.107337e+000	2.107337e-005
3.900807286966732e-006	2.107352e+000	2.107352e-005
3.910572911966731e-006	2.107365e+000	2.107365e-005
3.920338536966731e-006	2.107374e+000	2.107374e-005
3.930104161966731e-006	2.107380e+000	2.107380e-005
3.939869786966730e-006	2.107382e+000	2.107381e-005
3.949635411966730e-006	2.107380e+000	2.107380e-005
3.959401036966729e-006	2.107373e+000	2.107374e-005
3.969166661966729e-006	2.107363e+000	2.107363e-005
3.978932286966729e-006	2.107347e+000	2.107347e-005
3.988697911966728e-006	2.107327e+000	2.107326e-005
3.998463536966728e-006	2.107301e+000	2.107301e-005
4.008229161966727e-006	2.107272e+000	2.107272e-005
4.017994786966727e-006	2.107238e+000	2.107238e-005
4.019847029514948e-006	2.107231e+000	2.107244e-005
4.019874794831410e-006	2.107231e+000	2.107248e-005
4.019930325464333e-006	2.107231e+000	2.107245e-005
4.019983445670590e-006	2.107231e+000	2.107234e-005
4.020733054992398e-006	2.107228e+000	2.107221e-005
4.033689915449238e-006	2.107173e+000	2.107173e-005
4.053221165449238e-006	2.107079e+000	2.107079e-005
4.062986790449237e-006	2.107027e+000	2.107027e-005
4.072752415449237e-006	2.106972e+000	2.106971e-005
4.082518040449236e-006	2.106913e+000	2.106913e-005
4.092283665449236e-006	2.106852e+000	2.106852e-005
4.102049290449236e-006	2.106789e+000	2.106789e-005
4.121580540449235e-006	2.106657e+000	2.106657e-005
4.150877415449234e-006	2.106448e+000	2.106449e-005
4.180174290449232e-006	2.106226e+000	2.106226e-005
4.199705540449232e-006	2.106072e+000	2.106072e-005
4.209471165449231e-006	2.105994e+000	2.105994e-005
4.219236790449231e-006	2.105916e+000	2.105916e-005
4.229002415449230e-006	2.105838e+000	2.105838e-005
4.238768040449230e-006	2.105760e+000	2.105759e-005
4.243957761115933e-006	2.105718e+000	2.105718e-005
4.245682822876372e-006	2.105704e+000	2.105704e-005
4.246850899255005e-006	2.105695e+000	2.105692e-005
4.247526430006507e-006	2.105689e+000	2.105686e-005
4.248365364926903e-006	2.105682e+000	2.105681e-005
4.250043234767696e-006	2.105669e+000	2.105669e-005
4.253398974449282e-006	2.105642e+000	2.105642e-005
4.258860395356874e-006	2.105598e+000	2.105598e-005
4.263775922818458e-006	2.105558e+000	2.105558e-005
4.269080463382341e-006	2.105516e+000	2.105516e-005
4.274142521945037e-006	2.105477e+000	2.105477e-005
4.280197201649107e-006	2.105430e+000	2.105430e-005
4.286539429588216e-006	2.105381e+000	2.105381e-005
4.294282300682847e-006	2.105323e+000	2.105322e-005
4.302924675005218e-006	2.105259e+000	2.105258e-005
4.312690300005218e-006	2.105189e+000	2.105188e-005
4.322455925005218e-006	2.105121e+000	2.105120e-005
4.341987175005217e-006	2.104990e+000	2.104989e-005
4.371284050005216e-006	2.104806e+000	2.104805e-005
4.390815300005215e-006	2.104691e+000	2.104690e-005
4.400580925005214e-006	2.104636e+000	2.104635e-005
4.410346550005214e-006	2.104582e+000	2.104583e-005
