% Model,pzt_power_harvester.mph
% Version,COMSOL 4.3.1.115
% Date,"Apr 26 2017, 14:58"
% Table,Probe Table 2 - 
% freq,"Velocity, Z component (m/s), Boundary Probe 3","Electric potential (V*m), Boundary Probe 1","Current density norm (A/m), Boundary Probe 2","Electric potential (V), Boundary Probe 4"
398107.1705534969,9.944444444444444E-7,1.6733227459301827E-8,2.795913775612589E-5,5.748235767738151E-4
446683.5921509635,9.944444444444444E-7,-5.020783033156305E-9,2.868088760535754E-5,5.082870429364919E-4
501187.2336272725,9.944444444444444E-7,-2.7825125602215944E-8,2.9651122347682442E-5,4.4846880830976986E-4
562341.3251903491,9.944444444444448E-7,-5.251970670357498E-8,3.0982604887623635E-5,3.945812566434388E-4
630957.344480193,9.944444444444444E-7,-8.033541990558791E-8,3.2863147913684725E-5,3.459407091423708E-4
707945.7843841374,9.944444444444444E-7,-1.1325454172676558E-7,3.563151527778128E-5,3.0200609805228174E-4
794328.2347242822,9.944444444444444E-7,-1.5486758096455672E-7,3.9970592043875796E-5,2.6251928017576417E-4
891250.9381337459,9.944444444444448E-7,-2.1284986971769266E-7,4.750502746637798E-5,2.2803319126303218E-4
1000000.0,9.944444444444446E-7,-3.0881192420478654E-7,6.333416505397064E-5,2.0244444719425334E-4
1000000.0,9.944444444444446E-7,-3.088119242047892E-7,6.333416505397107E-5,2.0244444719425372E-4
1023292.9922807537,9.944444444444444E-7,-3.377797034539067E-7,6.881126259454487E-5,1.9963050123007297E-4
1047128.5480508985,9.944444444444448E-7,-3.7283276641897406E-7,7.580008400799418E-5,1.9834038101466792E-4
1071519.305237607,9.944444444444444E-7,-4.16677687287995E-7,8.502603356111352E-5,1.993416841546977E-4
1096478.196143185,9.944444444444444E-7,-4.7404043994981873E-7,9.776945635486826E-5,2.0401139975565236E-4
1122018.454301963,9.944444444444444E-7,-5.540395486848221E-7,1.1652230213513642E-4,2.1506263200222353E-4
1148153.6214968818,9.944444444444448E-7,-6.769660877211281E-7,1.4686620829108178E-4,2.3862529197059198E-4
1174897.5549395303,9.944444444444444E-7,-8.993237587765697E-7,2.0441288839251535E-4,2.9193966891743464E-4
1202264.4346174132,9.944444444444444E-7,-1.4613651450547132E-6,3.557082768393249E-4,4.487106833850823E-4
1230268.770812381,9.944444444444446E-7,-6.848925572087745E-6,0.0018444931079974697,0.0020885175043824002
1258925.411794166,9.944444444444446E-7,1.6371321199921184E-6,5.30086379963177E-4,0.0036916313790942928
1288249.551693135,9.944444444444444E-7,5.291402572914546E-7,2.395371069514044E-4,0.0014927411580939354
1318256.7385564074,9.944444444444444E-7,1.9964154866891575E-7,1.652745820074066E-4,8.722874474941272E-4
1348962.8825916531,9.944444444444444E-7,2.616815022668409E-8,1.3588592484814845E-4,5.747573658249859E-4
1380384.2646028837,9.944444444444444E-7,-9.329164017541268E-8,1.2414838802509698E-4,3.9663039807862944E-4
1412537.5446227554,9.944444444444444E-7,-1.9150368012293126E-7,1.2206318696853108E-4,2.7551565500088377E-4
1445439.770745928,9.944444444444444E-7,-2.8387571856726607E-7,1.2728511103210925E-4,1.8628922763890351E-4
1479108.3881682071,9.944444444444444E-7,-3.809152660730596E-7,1.3993484860522838E-4,1.1788543159836686E-4
1513561.2484362072,9.944444444444444E-7,-4.934349713851278E-7,1.6275257298333645E-4,6.734638275301279E-5
1548816.6189124826,9.944444444444444E-7,-6.376069920887339E-7,2.0296561863048038E-4,4.220786085583078E-5
1584893.1924611141,9.944444444444448E-7,-8.464964385820051E-7,2.8238292255725804E-4,8.23632782707017E-5
1621810.09735893,9.944444444444444E-7,-1.2205169663295614E-6,4.963088004579431E-4,4.2393602984392787E-4
